data,hora,abertura,minimo,maximo,fechamento,volume,retorno,volatilidade,SMA_10,EMA_10,MACD,Signal_Line,rsi,OBV,fechamento_lag1,retorno_lag1,volume_lag1,fechamento_lag2,retorno_lag2,volume_lag2,fechamento_lag3,retorno_lag3,volume_lag3,dia_da_semana_entrada,data_previsao,dia_da_semana_previsao,hora_num,minuto,mercado_aberto
2025-03-31,10:00:00,0.7766497461928923,0.7291666666666661,0.7438423645320196,0.7121212121212119,0.22443162932925612,-6.371252343228977,1.6486043602376204,0.978511011201707,0.844989346873688,-1.0508568531232156,-0.9722291274181285,-1.8851766997789678,0.8257144419352476,0.9757759273277821,0.5523710716984747,0.09152807508644821,0.9750189250567753,0.5735618077319171,0.082512761402931,0.9735049205147616,0.5524203908307513,0.07395027169438498,0,2025-04-01,1,10,0,1
2025-03-31,10:15:00,0.7106598984771573,0.708333333333333,0.6945812807881779,0.7070707070707067,0.09332413747257862,-0.27266911285759354,1.6445562755994882,0.9767583631791513,0.8257527896769394,-1.3642015549417434,-1.0650666180328496,-1.9212980572965794,0.8129766857899792,0.9568508705526118,0.0035300526375199315,0.23155771447390086,0.9757759273277821,0.5523710716984747,0.09152807508644821,0.9750189250567753,0.5735618077319171,0.082512761402931,0,2025-04-01,1,10,15,1
2025-03-31,10:30:00,0.7055837563451774,0.7135416666666661,0.6896551724137936,0.6969696969696964,0.11522801302931596,-0.5324270238515952,1.6307805353366056,0.9746247047169094,0.8080439793335978,-1.6331953034166737,-1.1958461459830414,-1.9968600814214585,0.7975195058819403,0.956093868281605,0.5097199069161066,0.10165486579944014,0.9568508705526118,0.0035300526375199315,0.23155771447390086,0.9757759273277821,0.5523710716984747,0.09152807508644821,0,2025-04-01,1,10,30,1
2025-03-31,10:45:00,0.6954314720812169,0.7239583333333321,0.6847290640394093,0.7121212121212119,0.06354284384763678,0.766570804474471,1.655381579536564,0.9731006629581652,0.7965096661898654,-1.7694227292522937,-1.3290880860338914,-1.4815956044599776,0.8065598360917878,0.9545798637395913,0.48815968314824026,0.12335748394533179,0.956093868281605,0.5097199069161066,0.10165486579944014,0.9568508705526118,0.0035300526375199315,0.23155771447390086,0,2025-04-01,1,10,45,1
2025-03-31,11:00:00,0.7106598984771573,0.739583333333333,0.6995073891625614,0.7272727272727266,0.022726517317024533,0.7647197933412361,1.7089688442289852,0.9716528232873582,0.7900272143912677,-1.800078507141558,-1.4421217273980613,-1.0052698727818024,0.8105327120062147,0.9568508705526118,0.5959780889304189,0.07214720895768154,0.9545798637395913,0.48815968314824026,0.12335748394533179,0.956093868281605,0.5097199069161066,0.10165486579944014,0,2025-04-01,1,11,0,1
2025-03-31,11:15:00,0.7258883248730958,0.739583333333333,0.6995073891625614,0.7171717171717171,0.06242105962906335,-0.5307881757456562,1.697266422736256,0.9702049836165513,0.7827535811918684,-1.8426250707465366,-1.5414867164049169,-1.1597770872772628,0.8016316542576624,0.9591218773656321,0.5958244527463403,0.03170591141116417,0.9568508705526118,0.5959780889304189,0.07214720895768154,0.9545798637395913,0.48815968314824026,0.12335748394533179,0,2025-04-01,1,11,15,1
2025-03-31,11:30:00,0.7157360406091362,0.7447916666666661,0.7142857142857153,0.737373737373737,0.06346805823306523,1.0232469496094165,1.7486786055504744,0.9689857502095559,0.7807420447570887,-1.7800593532056328,-1.6078350577898965,-0.5407988068157037,0.8106626996367567,0.9576078728236186,0.4882957095420097,0.07103573192820681,0.9591218773656321,0.5958244527463403,0.03170591141116417,0.9568508705526118,0.5959780889304189,0.07214720895768154,0,2025-04-01,1,11,30,1
2025-03-31,11:45:00,0.7309644670050757,0.755208333333333,0.7093596059113301,0.7323232323232318,0.01570497906002792,-0.27164725617300695,1.7446834316262438,0.9676141126266862,0.7781113377192703,-1.7308066773685835,-1.6505668516584384,-0.6436787507193904,0.8075615661652514,0.9606358819076458,0.6172825223692547,0.0720731104890499,0.9576078728236186,0.4882957095420097,0.07103573192820681,0.9591218773656321,0.5958244527463403,0.03170591141116417,0,2025-04-01,1,11,45,1
2025-03-31,12:00:00,0.7309644670050757,0.7604166666666661,0.7093596059113301,0.7424242424242413,0.011284318287575618,0.5037363066871391,1.7499351469104605,0.9662424750438164,0.7779287500525083,-1.6355739500275457,-1.6647460330280794,-0.3275046012194284,0.8101138629744677,0.959878879636639,0.5098047222685786,0.024748888522970525,0.9606358819076458,0.6172825223692547,0.0720731104890499,0.9576078728236186,0.4882957095420097,0.07103573192820681,0,2025-04-01,1,12,0,1
2025-03-31,12:15:00,0.7360406091370546,0.755208333333333,0.7093596059113301,0.7272727272727266,0.02156318553480024,-0.7876877784941279,1.7454563085376242,0.9645660291091978,0.7748246466425197,-1.6003552079536223,-1.6686907126703705,-0.6819011616175483,0.8062854177606433,0.9613928841786525,0.5741625047023009,0.02036884571052198,0.959878879636639,0.5098047222685786,0.024748888522970525,0.9606358819076458,0.6172825223692547,0.0720731104890499,0,2025-04-01,1,12,15,1
2025-03-31,12:30:00,0.7258883248730958,0.7499999999999991,0.6945812807881779,0.7272727272727266,0.016170311772917636,-0.013321886307877912,1.7236949111748503,0.9647946353730094,0.7722849256707116,-1.5555855418538922,-1.6624413566439042,-0.681901176691794,0.8062854177606433,0.9591218773656321,0.46697272884841723,0.030553268565782974,0.9613928841786525,0.5741625047023009,0.02036884571052198,0.959878879636639,0.5098047222685786,0.024748888522970525,0,2025-04-01,1,12,30,1
2025-03-31,12:45:00,0.7258883248730958,0.755208333333333,0.6995073891625614,0.7222222222222214,0.014001528950342353,-0.27205503102676704,1.7125501931634257,0.9650232416368208,0.7692220676480517,-1.5228337474748217,-1.65056145658526,-0.8117196900132638,0.8033957721007343,0.9591218773656321,0.5312460433736657,0.025209945661123,0.9591218773656321,0.46697272884841723,0.030553268565782974,0.9613928841786525,0.5741625047023009,0.02036884571052198,0,2025-04-01,1,12,45,1
